randomisation_order,screened,initial_inclusion,final_inclusion,exclusion_reason,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
1,Yes,Yes,Yes,,1,10.1371/journal.pone.0224943,PLOS ONE,Research Article,"Anirudh Saini,Devin Burns,Darian Emmett,Yun Seong Song",12,Trunk velocity-dependent Light Touch reduces postural sway during standing,"/Biology and life sciences/Neuroscience/Cognitive neuroscience/Motor reactions/Postural control,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive neuroscience/Motor reactions/Postural control,/Biology and life sciences/Neuroscience/Sensory perception/Touch,/Biology and life sciences/Psychology/Sensory perception/Touch,/Engineering and technology/Mechanical engineering/Robotics,/Engineering and technology/Mechanical engineering/Robotics/Robots,/Medicine and health sciences/Geriatrics/Balance and falls,/Physical sciences/Physics/Classical mechanics/Motion/Velocity,/Physical sciences/Physics/Classical mechanics/Statics,/Physical sciences/Physics/Classical mechanics/Vibration,/Social sciences/Psychology/Sensory perception/Touch",7/11/2019,TRUE
2,Yes,No,No,"Linear regression was used in data preparation, but results were not presented.",,10.1371/journal.pone.0216298,PLOS ONE,Research Article,"Elardus Erasmus,Francois E Steffens,Mari van Reenen,B Chris Vorster,Carolus J Reinecke",22,Biotransformation profiles from a cohort of chronic fatigue women in response to a hepatic detoxification challenge,"/Biology and life sciences/Anatomy/Body fluids/Urine,/Biology and life sciences/Biochemistry/Metabolism/Metabolic pathways/Xenobiotic metabolism,/Biology and life sciences/Biochemistry/Proteins/Amino acids/Aliphatic amino acids/Glycine,/Biology and life sciences/Physiology/Body fluids/Urine,/Biology and life sciences/Toxicology/Detoxification,/Medicine and health sciences/Anatomy/Body fluids/Urine,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Pathology and laboratory medicine/Toxicology/Detoxification,/Medicine and health sciences/Physiology/Body fluids/Urine,/Physical sciences/Chemistry/Chemical compounds/Alkaloids/Caffeine,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Amino acids/Aliphatic amino acids/Glycine,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Amino acids/Aliphatic amino acids/Glycine,/Physical sciences/Materials science/Materials physics/Material fatigue,/Physical sciences/Physics/Classical mechanics/Damage mechanics/Material fatigue,/Physical sciences/Physics/Materials physics/Material fatigue,/Research and analysis methods/Microscopy/Light microscopy/Fluorescence recovery after photobleaching",10/05/2019,TRUE
3,Yes,Yes,Yes,,2,10.1371/journal.pone.0219258,PLOS ONE,Research Article,"Shih-Chi Wu,Peiling Hsieh,Yi-Wen Chen,Mei-Due Yang,Yu-Chun Wang,Han-Tsung Cheng,Chia-Wei Tzeng,Chia-Hao Hsu,Chih-Hsin Muo",10,A comparative study of risk of pneumonia and mortalities between nasogastric and jejunostomy feeding routes in surgical critically ill patients with perforated peptic ulcer,"/Biology and life sciences/Biochemistry/Proteins/Albumins,/Biology and life sciences/Nutrition,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Marsupials/Opossums,/Engineering and technology/Equipment/Laboratory equipment/Ventilators,/Medicine and health sciences/Health care/Health care facilities/Hospitals/Intensive care units,/Medicine and health sciences/Nutrition,/Medicine and health sciences/Pulmonology/Pneumonia,/Medicine and health sciences/Surgical and invasive medical procedures,/Medicine and health sciences/Surgical and invasive medical procedures/Digestive system procedures/Jejunostomy",3/07/2019,TRUE
4,Yes,Yes,Yes,,3,10.1371/journal.pone.0221252,PLOS ONE,Research Article,"Mirjam Frank,Nico Dragano,Marina Arendt,Andreas J Forstner,Markus M Nöthen,Susanne Moebus,Raimund Erbel,Karl-Heinz Jöckel,Börge Schmidt",14,A genetic sum score of risk alleles associated with body mass index interacts with socioeconomic position in the Heinz Nixdorf Recall Study,"/Biology and life sciences/Evolutionary biology/Population genetics,/Biology and life sciences/Genetics/Genetic loci,/Biology and life sciences/Genetics/Population genetics,/Biology and life sciences/Nutrition/Diet/Alcohol consumption,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Biology and life sciences/Population biology/Population genetics,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Nutrition/Diet/Alcohol consumption,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health,/Medicine and health sciences/Public and occupational health/Physical activity,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/Social sciences/Sociology/Education/Educational attainment",23/08/2019,TRUE
5,Yes,Yes,Yes,,4,10.1371/journal.pone.0215606,PLOS ONE,Research Article,"Juliën N A P Wijers,Christian J P A Hoebe,Geneviève A F S van Liere,Petra F G Wolffs,Nicole H T M Dukers-Muijrers",14,"Chlamydia trachomatis bacterial load, estimated by Cq values, in urogenital samples from men and women visiting the general practice, hospital or STI clinic","/Biology and life sciences/Anatomy/Body fluids/Urine,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Chlamydia trachomatis,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Organisms/Bacteria/Chlamydia/Chlamydia trachomatis,/Biology and life sciences/Organisms/Viruses/Immunodeficiency viruses/HIV,/Biology and life sciences/Organisms/Viruses/RNA viruses/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Immunodeficiency viruses/HIV,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Physiology/Body fluids/Urine,/Medicine and health sciences/Anatomy/Body fluids/Urine,/Medicine and health sciences/Health care/Health care providers/Medical doctors/Physicians,/Medicine and health sciences/Health care/Health care providers/Medical doctors/Physicians/General practitioners,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Infectious diseases/Sexually transmitted diseases,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Chlamydia trachomatis,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV,/Medicine and health sciences/Physiology/Body fluids/Urine,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/People and places/Geographical locations/Europe/European Union/Netherlands,/People and places/Population groupings/Professions/Medical personnel/Medical doctors/Physicians,/People and places/Population groupings/Professions/Medical personnel/Medical doctors/Physicians/General practitioners",19/04/2019,TRUE
6,Yes,Yes,No,"A comparison of four machine learning techniques, including linear regression. However, the authors suggest that random effects may have been used, although tables are unclear.",5,10.1371/journal.pone.0211508,PLOS ONE,Research Article,"David Linnard Wheeler,Jeness Scott,Jeremiah Kam Sung Dung,Dennis Allen Johnson",16,Evidence of a trans-kingdom plant disease complex between a fungus and plant-parasitic nematodes,"/Biology and life sciences/Agriculture/Crop science/Crops,/Biology and life sciences/Computational biology/Computational neuroscience/Artificial neural networks,/Biology and life sciences/Neuroscience/Computational neuroscience/Artificial neural networks,/Biology and life sciences/Organisms/Eukaryota/Fungi,/Biology and life sciences/Organisms/Eukaryota/Fungi/Ascomycetes/Verticillium,/Biology and life sciences/Plant science/Plant pathology,/Biology and life sciences/Plant science/Plant pathology/Plant pathogens/Plant fungal pathogens,/Computer and information sciences/Artificial intelligence/Artificial neural networks,/Medicine and health sciences/Parasitic diseases/Nematode infections,/Medicine and health sciences/Pathology and laboratory medicine/Etiology",13/02/2019,TRUE
7,Yes,Yes,Yes,,6,10.1371/journal.pone.0210320,PLOS ONE,Research Article,"Andrea Silvestrini,Carmine Bruno,Edoardo Vergani,Angela Venuti,Angela Maria Rita Favuzzi,Francesco Guidi,Nicola Nicolotti,Elisabetta Meucci,Alvaro Mordente,Antonio Mancini",7,Circulating irisin levels in heart failure with preserved or reduced ejection fraction: A pilot study,"/Biology and life sciences/Biochemistry/Antioxidants,/Biology and life sciences/Biochemistry/Hormones/Insulin,/Biology and life sciences/Cell biology/Oxidative stress,/Biology and life sciences/Physiology/Physiological processes/Secretion,/Medicine and health sciences/Cardiology/Ejection fraction,/Medicine and health sciences/Cardiology/Heart failure,/Medicine and health sciences/Cardiovascular medicine/Cardiovascular diseases,/Medicine and health sciences/Endocrinology/Diabetic endocrinology/Insulin,/Medicine and health sciences/Physiology/Physiological processes/Secretion,/Research and analysis methods/Research design/Pilot studies",18/01/2019,TRUE
8,Yes,Yes,Yes,,7,10.1371/journal.pone.0226267,PLOS ONE,Research Article,"Yalil Augusto Rodríguez-Cárdenas,Gustavo Armando Ruíz-Mora,Aron Aliaga-Del Castillo,Heraldo Luis Dias-Da Silveira,Luis Ernesto Arriola-Guillén",15,Root and alveolar bone changes in first premolars adjacent to the traction of buccal versus palatal maxillary impacted canines,"/Biology and life sciences/Anatomy/Digestive system/Teeth,/Biology and life sciences/Anatomy/Digestive system/Teeth/Incisors,/Biology and life sciences/Anatomy/Head/Jaw/Teeth,/Biology and life sciences/Anatomy/Head/Jaw/Teeth/Incisors,/Biology and life sciences/Anatomy/Musculoskeletal system/Skeleton/Skull/Alveolar bone,/Biology and life sciences/Neuroscience/Neuroimaging/Computed axial tomography,/Medicine and health sciences/Anatomy/Digestive system/Teeth,/Medicine and health sciences/Anatomy/Digestive system/Teeth/Incisors,/Medicine and health sciences/Anatomy/Head/Jaw/Teeth,/Medicine and health sciences/Anatomy/Head/Jaw/Teeth/Incisors,/Medicine and health sciences/Anatomy/Musculoskeletal system/Skeleton/Skull/Alveolar bone,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Tomography/Computed axial tomography,/Medicine and health sciences/Oral medicine/Orthodontics,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Tomography/Computed axial tomography,/Physical sciences/Mathematics/Statistics/Statistical methods/Forecasting,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Tomography/Computed axial tomography,/Research and analysis methods/Imaging techniques/Neuroimaging/Computed axial tomography,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Forecasting,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Research design/Retrospective studies",10/12/2019,TRUE
9,Yes,Yes,Yes,,8,10.1371/journal.pone.0211882,PLOS ONE,Research Article,"Carolien Christ,Marleen M de Waal,Jack J M Dekker,Iris van Kuijk,Digna J F van Schaik,Martijn J Kikkert,Anna E Goudriaan,Aartjan T F Beekman,Terri L Messman-Moore",18,Linking childhood emotional abuse and depressive symptoms: The role of emotion dysregulation and interpersonal problems,"/Biology and life sciences/Psychology/Behavior,/Biology and life sciences/Psychology/Collective human behavior/Interpersonal relationships,/Biology and life sciences/Psychology/Emotions,/Biology and life sciences/Psychology/Psychometrics,/Medicine and health sciences/Epidemiology/Medical risk factors/Traumatic injury risk factors/Child abuse,/Medicine and health sciences/Mental health and psychiatry/Child psychiatry,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Pediatrics/Child abuse,/Medicine and health sciences/Public and occupational health/Traumatic injury risk factors/Child abuse,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Psychology/Behavior,/Social sciences/Psychology/Collective human behavior/Interpersonal relationships,/Social sciences/Psychology/Emotions,/Social sciences/Psychology/Psychometrics,/Social sciences/Sociology/Criminology/Crime/Child abuse",14/02/2019,TRUE
10,Yes,Yes,Yes,,9,10.1371/journal.pone.0212268,PLOS ONE,Research Article,"Praveena Gunaratnam,Anita Elizabeth Heywood,Skye McGregor,Muhammad Shahid Jamil,Hamish McManus,Limin Mao,Roanna Lobo,Graham Brown,Margaret Hellard,Tafireyi Marukutira,Neil Arvin Bretaña,Carolyn Lang,Nicholas Medland,Benjamin Bavinton,Andrew Grulich,Rebecca Guy",13,HIV diagnoses in migrant populations in Australia—A changing epidemiology,"/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Organisms/Viruses/Immunodeficiency viruses/HIV,/Biology and life sciences/Organisms/Viruses/RNA viruses/Retroviruses/Lentivirus/HIV,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Immunodeficiency viruses/HIV,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Retroviruses/Lentivirus/HIV,/Medicine and health sciences/Diagnostic medicine/HIV diagnosis and management,/Medicine and health sciences/Epidemiology/HIV epidemiology,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV,/People and places/Geographical locations/Africa,/People and places/Geographical locations/Asia,/People and places/Geographical locations/Europe,/People and places/Geographical locations/Oceania/Australia,/People and places/Population groupings/Sexuality groupings/Heterosexuals",14/02/2019,TRUE
